id	BP101	BP155	BP186	BP278	BP315	BP331
TIGR03957	0	0	0	8	93	11
TIGR00514	776	759	62	814	2956	1115
TIGR02027	470	325	43	658	2459	812
TIGR02026	0	0	0	25	143	37
TIGR02025	255	325	20	180	1232	191
TIGR01713	12	24	0	38	140	27
TIGR02022	298	204	7	398	1400	510
TIGR02021	99	98	4	125	259	184
TIGR03399	1	7	0	10	30	21
TIGR03392	401	362	12	596	1762	572
TIGR03393	268	228	18	294	1050	410
TIGR03391	57	47	1	31	88	35
TIGR03394	411	394	27	584	2017	708
TIGR01438	1429	1284	79	1882	5947	2266
TIGR01435	622	616	21	794	2703	990
TIGR01434	767	751	25	1027	3577	1278
TIGR01436	5	5	0	8	44	22
TIGR01430	41	22	4	9	76	18
TIGR01433	92	68	4	92	410	108
TIGR01432	125	75	8	84	492	101
TIGR01758	279	278	21	398	1217	454
TIGR02066	0	0	0	77	157	35
TIGR00393	255	177	14	287	928	322
TIGR00392	1710	1464	143	2205	6921	2588
TIGR00391	0	1	0	47	102	13
TIGR00390	600	545	68	768	2839	1012
TIGR00397	20	19	6	75	170	59
TIGR00396	654	577	37	858	2726	1014
TIGR02843	1453	1199	377	1185	3560	1472
TIGR02842	621	504	35	809	2575	866
TIGR00399	117	110	4	164	608	199
TIGR00398	933	707	66	992	2956	1204
TIGR00151	259	149	5	319	1265	453
TIGR00150	121	125	4	110	355	91
TIGR00153	239	232	28	470	1305	437
TIGR01380	259	210	13	244	943	318
TIGR01387	3441	3141	175	3749	13730	4279
TIGR01386	2050	1920	113	2677	9993	3194
TIGR01385	11	18	1	14	6	25
TIGR00158	85	86	11	140	389	154
TIGR01389	797	700	40	1014	3436	1237
TIGR01388	243	181	21	377	1236	456
TIGR01756	272	271	20	387	1210	449
TIGR01540	14	12	2	281	136	66
TIGR01543	104	46	0	39	5	12
TIGR01757	296	301	26	416	1281	475
TIGR01547	729	368	25	188	425	518
TIGR01549	5	0	0	2	28	14
TIGR01548	59	34	0	96	312	84
TIGR03319	2	4	0	8	39	16
TIGR04259	270	207	17	270	1085	314
TIGR04256	0	0	0	8	24	2
TIGR03572	400	353	14	634	1830	605
TIGR04253	271	223	21	338	1345	502
TIGR03570	487	470	19	694	2390	862
TIGR03571	2258	1780	120	2756	7750	3554
TIGR01999	8	21	1	23	67	18
TIGR04094	40	71	2	68	265	56
